object,case,width,force,label,frame_idx,time_sec,x_t00,x_t01,x_t02,x_t03,x_t04,x_t05,x_t06,x_t07,x_t08,x_t09,x_t10,x_t11,x_t12,x_t13,x_t14,x_t15,y_t00,y_t01,y_t02,y_t03,y_t04,y_t05,y_t06,y_t07,y_t08,y_t09,y_t10,y_t11,y_t12,y_t13,y_t14,y_t15,z_t00,z_t01,z_t02,z_t03,z_t04,z_t05,z_t06,z_t07,z_t08,z_t09,z_t10,z_t11,z_t12,z_t13,z_t14,z_t15
appbox,11.0_3_1,11.0,3,1,0,1564556498828.0,0.7647058963775635,0.7647058963775635,0.843137264251709,0.886274516582489,0.5764706134796143,0.5607843399047852,0.5137255191802979,0.8784313797950745,0.09803921729326248,0.03529411926865578,0.47843137383461,0.8039215803146362,0.03529411926865578,0.0313725508749485,0.5372549295425415,0.8196078538894653,0.10196078568696976,0.10196078568696976,0.13725490868091583,0.18039216101169586,0.0,0.0,0.0,0.1725490242242813,0.04313725605607033,0.0,0.0,0.2980392277240753,0.0,0.0,0.0313725508749485,0.3137255012989044,0.07450980693101883,0.07450980693101883,0.3137255012989044,0.35686275362968445,0.0,0.0,0.0,0.3490196168422699,0.0941176488995552,0.0313725508749485,0.0,0.1764705926179886,0.0313725508749485,0.027450980618596077,0.0,0.1921568661928177
appbox,11.0_3_1,11.0,3,1,1,1564556498843.0,0.7764706015586853,0.7764706015586853,0.843137264251709,0.8823529481887817,0.5921568870544434,0.5843137502670288,0.5215686559677124,0.8784313797950745,0.09019608050584793,0.03529411926865578,0.49803921580314636,0.8156862854957581,0.03529411926865578,0.0313725508749485,0.5568627715110779,0.8352941274642944,0.09803921729326248,0.09803921729326248,0.13725490868091583,0.1764705926179886,0.0,0.0,0.0,0.1725490242242813,0.03921568766236305,0.0,0.0,0.2666666805744171,0.0,0.0,0.007843137718737125,0.2862745225429535,0.08235294371843338,0.08235294371843338,0.3137255012989044,0.3529411852359772,0.0,0.0,0.0,0.3490196168422699,0.06666667014360428,0.0117647061124444,0.0,0.20000000298023224,0.0117647061124444,0.007843137718737125,0.0,0.21960784494876862
appbox,11.0_3_1,11.0,3,1,2,1564556498858.0,0.7647058963775635,0.7568627595901489,0.843137264251709,0.8705882430076599,0.5764706134796143,0.5607843399047852,0.5176470875740051,0.8784313797950745,0.08627451211214066,0.0313725508749485,0.4745098054409027,0.8039215803146362,0.03921568766236305,0.027450980618596077,0.5333333611488342,0.8235294222831726,0.10980392247438431,0.10196078568696976,0.13725490868091583,0.16470588743686676,0.0,0.0,0.0,0.1725490242242813,0.04313725605607033,0.0,0.0,0.29411765933036804,0.0,0.0,0.0235294122248888,0.3137255012989044,0.0784313753247261,0.07058823853731155,0.3137255012989044,0.34117648005485535,0.0,0.0,0.0,0.3490196168422699,0.05882352963089943,0.003921568859368563,0.0,0.2078431397676468,0.0117647061124444,0.0,0.0,0.22745098173618317
appbox,11.0_3_1,11.0,3,1,3,1564556498874.0,0.7607843279838562,0.7647058963775635,0.8313725590705872,0.8745098114013672,0.5764706134796143,0.5647059082984924,0.5058823823928833,0.8666666746139526,0.09019608050584793,0.03529411926865578,0.47058823704719543,0.7921568751335144,0.03921568766236305,0.0313725508749485,0.5333333611488342,0.8156862854957581,0.10196078568696976,0.10588235408067703,0.1411764770746231,0.18431372940540314,0.0,0.0,0.0,0.1764705926179886,0.03921568766236305,0.0,0.0,0.29019609093666077,0.0,0.0,0.0313725508749485,0.3137255012989044,0.06666667014360428,0.07058823853731155,0.32549020648002625,0.3686274588108063,0.0,0.0,0.0,0.3607843220233917,0.0784313753247261,0.0235294122248888,0.0,0.1764705926179886,0.027450980618596077,0.019607843831181526,0.0,0.20000000298023224
appbox,11.0_3_1,11.0,3,1,4,1564556498889.0,0.772549033164978,0.7803921699523926,0.8470588326454163,0.8784313797950745,0.5960784554481506,0.572549045085907,0.5137255191802979,0.8823529481887817,0.08627451211214066,0.04313725605607033,0.5058823823928833,0.8117647171020508,0.03921568766236305,0.0313725508749485,0.5568627715110779,0.8392156958580017,0.0941176488995552,0.10196078568696976,0.1411764770746231,0.1725490242242813,0.0,0.0,0.0,0.1764705926179886,0.03921568766236305,0.0,0.0,0.2705882489681244,0.0,0.0,0.01568627543747425,0.2980392277240753,0.06666667014360428,0.07450980693101883,0.32549020648002625,0.35686275362968445,0.0,0.0,0.0,0.3607843220233917,0.0470588244497776,0.003921568859368563,0.0,0.16078431904315948,0.0,0.0,0.0,0.1882352977991104
appbox,11.0_3_1,11.0,3,1,5,1564556498904.0,0.7686274647712708,0.7803921699523926,0.8313725590705872,0.8509804010391235,0.5882353186607361,0.5686274766921997,0.4901960790157318,0.8588235378265381,0.07450980693101883,0.03529411926865578,0.48627451062202454,0.8039215803146362,0.03529411926865578,0.0235294122248888,0.5411764979362488,0.843137264251709,0.0941176488995552,0.10588235408067703,0.16470588743686676,0.18431372940540314,0.0,0.0,0.0,0.1921568661928177,0.03529411926865578,0.0,0.0,0.29019609093666077,0.0,0.0,0.027450980618596077,0.3294117748737335,0.0784313753247261,0.09019608050584793,0.3176470696926117,0.33725491166114807,0.0,0.0,0.0,0.3450980484485626,0.07058823853731155,0.0313725508749485,0.0,0.1725490242242813,0.0313725508749485,0.019607843831181526,0.0,0.21176470816135406
appbox,11.0_3_1,11.0,3,1,6,1564556498919.0,0.7764706015586853,0.772549033164978,0.8274509906768799,0.8627451062202454,0.5960784554481506,0.5803921818733215,0.5058823823928833,0.8627451062202454,0.09019608050584793,0.03529411926865578,0.47843137383461,0.8078431487083435,0.0313725508749485,0.027450980618596077,0.5411764979362488,0.8352941274642944,0.09803921729326248,0.0941176488995552,0.14901961386203766,0.18431372940540314,0.0,0.0,0.0,0.18431372940540314,0.04313725605607033,0.0,0.0,0.29411765933036804,0.0,0.0,0.027450980618596077,0.32156863808631897,0.08235294371843338,0.0784313753247261,0.3176470696926117,0.3529411852359772,0.0,0.0,0.0,0.3529411852359772,0.08235294371843338,0.027450980618596077,0.0,0.1764705926179886,0.0235294122248888,0.019607843831181526,0.0,0.20392157137393951
appbox,11.0_3_1,11.0,3,1,7,1564556498934.0,0.772549033164978,0.7686274647712708,0.8352941274642944,0.8627451062202454,0.5921568870544434,0.5686274766921997,0.4901960790157318,0.8745098114013672,0.08627451211214066,0.027450980618596077,0.501960813999176,0.8117647171020508,0.03529411926865578,0.0313725508749485,0.5372549295425415,0.8509804010391235,0.10196078568696976,0.09803921729326248,0.1568627506494522,0.18431372940540314,0.0,0.0,0.0,0.19607843458652496,0.05098039284348488,0.0,0.0,0.2862745225429535,0.0,0.0,0.0117647061124444,0.32549020648002625,0.07450980693101883,0.07058823853731155,0.3333333432674408,0.3607843220233917,0.0,0.0,0.0,0.37254902720451355,0.01568627543747425,0.0,0.0,0.18039216101169586,0.0,0.0,0.0,0.21960784494876862
appbox,11.0_3_1,11.0,3,1,8,1564556498950.0,0.7607843279838562,0.7686274647712708,0.8274509906768799,0.8588235378265381,0.5803921818733215,0.5568627715110779,0.4901960790157318,0.8627451062202454,0.0784313753247261,0.0313725508749485,0.4941176474094391,0.800000011920929,0.03921568766236305,0.0235294122248888,0.5529412031173706,0.8392156958580017,0.09803921729326248,0.10588235408067703,0.16078431904315948,0.1921568661928177,0.0,0.0,0.0,0.19607843458652496,0.03921568766236305,0.0,0.0,0.29019609093666077,0.0,0.0,0.04313725605607033,0.3294117748737335,0.07058823853731155,0.0784313753247261,0.3137255012989044,0.3450980484485626,0.0,0.0,0.0,0.3490196168422699,0.07058823853731155,0.0235294122248888,0.0,0.16470588743686676,0.0313725508749485,0.01568627543747425,0.0,0.20392157137393951
appbox,11.0_3_1,11.0,3,1,9,1564556498965.0,0.7764706015586853,0.7764706015586853,0.8274509906768799,0.8666666746139526,0.5921568870544434,0.5843137502670288,0.49803921580314636,0.8666666746139526,0.0941176488995552,0.027450980618596077,0.501960813999176,0.8156862854957581,0.03529411926865578,0.03529411926865578,0.5568627715110779,0.8549019694328308,0.0941176488995552,0.0941176488995552,0.16078431904315948,0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0.0470588244497776,0.0,0.0,0.30980393290519714,0.0,0.0,0.05098039284348488,0.3490196168422699,0.09019608050584793,0.09019608050584793,0.3137255012989044,0.3529411852359772,0.0,0.0,0.0,0.3529411852359772,0.0941176488995552,0.027450980618596077,0.0,0.15294118225574493,0.03529411926865578,0.03529411926865578,0.0,0.1921568661928177
