object,case,width,force,label,frame_idx,time_sec,x_t00,x_t01,x_t02,x_t03,x_t04,x_t05,x_t06,x_t07,x_t08,x_t09,x_t10,x_t11,x_t12,x_t13,x_t14,x_t15,y_t00,y_t01,y_t02,y_t03,y_t04,y_t05,y_t06,y_t07,y_t08,y_t09,y_t10,y_t11,y_t12,y_t13,y_t14,y_t15,z_t00,z_t01,z_t02,z_t03,z_t04,z_t05,z_t06,z_t07,z_t08,z_t09,z_t10,z_t11,z_t12,z_t13,z_t14,z_t15
jianjo,68.3_3_0,68.3,3,0,0,1564565842362.0,0.0,0.003921568859368563,0.12941177189350128,0.1921568661928177,0.0,0.0,0.08627451211214066,0.1411764770746231,0.0117647061124444,0.003921568859368563,0.09803921729326248,0.16862745583057404,0.007843137718737125,0.003921568859368563,0.10588235408067703,0.2078431397676468,0.003921568859368563,0.019607843831181526,0.019607843831181526,0.08235294371843338,0.0117647061124444,0.003921568859368563,0.0,0.0313725508749485,0.003921568859368563,0.0,0.0,0.0313725508749485,0.0,0.0,0.0,0.07058823853731155,0.007843137718737125,0.0235294122248888,0.003921568859368563,0.06666667014360428,0.01568627543747425,0.007843137718737125,0.0,0.01568627543747425,0.01568627543747425,0.007843137718737125,0.0,0.0235294122248888,0.0117647061124444,0.007843137718737125,0.0,0.062745101749897
jianjo,68.3_3_0,68.3,3,0,1,1564565842377.0,0.0,0.003921568859368563,0.1411764770746231,0.21568627655506134,0.0,0.0,0.09803921729326248,0.16078431904315948,0.019607843831181526,0.01568627543747425,0.12156862765550613,0.2078431397676468,0.01568627543747425,0.01568627543747425,0.13333334028720856,0.25882354378700256,0.003921568859368563,0.019607843831181526,0.019607843831181526,0.0941176488995552,0.0117647061124444,0.007843137718737125,0.0,0.03921568766236305,0.0,0.0,0.0,0.03529411926865578,0.0,0.0,0.0,0.08627451211214066,0.007843137718737125,0.0235294122248888,0.0117647061124444,0.08627451211214066,0.01568627543747425,0.0117647061124444,0.0,0.0313725508749485,0.003921568859368563,0.0,0.0,0.03921568766236305,0.0,0.0,0.0,0.09019608050584793
jianjo,68.3_3_0,68.3,3,0,2,1564565842392.0,0.0,0.003921568859368563,0.12941177189350128,0.20000000298023224,0.0,0.0,0.08627451211214066,0.14901961386203766,0.007843137718737125,0.003921568859368563,0.09803921729326248,0.18039216101169586,0.007843137718737125,0.003921568859368563,0.10980392247438431,0.21960784494876862,0.007843137718737125,0.027450980618596077,0.019607843831181526,0.09019608050584793,0.0117647061124444,0.0117647061124444,0.0,0.03921568766236305,0.0,0.0,0.0,0.03921568766236305,0.0,0.0,0.0,0.0784313753247261,0.007843137718737125,0.027450980618596077,0.007843137718737125,0.0784313753247261,0.0117647061124444,0.0117647061124444,0.0,0.027450980618596077,0.003921568859368563,0.0,0.0,0.03921568766236305,0.003921568859368563,0.0,0.0,0.0784313753247261
jianjo,68.3_3_0,68.3,3,0,3,1564565842407.0,0.0,0.0,0.125490203499794,0.19607843458652496,0.0,0.0,0.08627451211214066,0.14901961386203766,0.0,0.0,0.09803921729326248,0.1764705926179886,0.0,0.0,0.10588235408067703,0.21568627655506134,0.007843137718737125,0.0235294122248888,0.01568627543747425,0.08627451211214066,0.0117647061124444,0.0117647061124444,0.0,0.03921568766236305,0.0,0.0,0.0,0.03921568766236305,0.0,0.0,0.0,0.0784313753247261,0.007843137718737125,0.0235294122248888,0.0,0.07058823853731155,0.0117647061124444,0.0117647061124444,0.0,0.0235294122248888,0.007843137718737125,0.007843137718737125,0.0,0.0313725508749485,0.007843137718737125,0.007843137718737125,0.0,0.07058823853731155
jianjo,68.3_3_0,68.3,3,0,4,1564565842424.0,0.0,0.003921568859368563,0.13725490868091583,0.21176470816135406,0.0,0.0,0.09019608050584793,0.16078431904315948,0.0235294122248888,0.01568627543747425,0.11372549086809158,0.20000000298023224,0.019607843831181526,0.01568627543747425,0.125490203499794,0.24313725531101227,0.007843137718737125,0.019607843831181526,0.019607843831181526,0.0941176488995552,0.007843137718737125,0.003921568859368563,0.0,0.04313725605607033,0.0,0.0,0.0,0.03529411926865578,0.0,0.0,0.0,0.0784313753247261,0.0117647061124444,0.0235294122248888,0.0117647061124444,0.08627451211214066,0.0117647061124444,0.007843137718737125,0.0,0.03529411926865578,0.007843137718737125,0.0,0.0,0.03921568766236305,0.003921568859368563,0.0,0.0,0.08235294371843338
jianjo,68.3_3_0,68.3,3,0,5,1564565842438.0,0.0,0.007843137718737125,0.12941177189350128,0.20000000298023224,0.0,0.0,0.09019608050584793,0.14901961386203766,0.003921568859368563,0.0,0.0941176488995552,0.16862745583057404,0.0,0.0,0.10196078568696976,0.21176470816135406,0.003921568859368563,0.0235294122248888,0.0117647061124444,0.08235294371843338,0.007843137718737125,0.007843137718737125,0.0,0.0313725508749485,0.003921568859368563,0.0,0.0,0.03529411926865578,0.0,0.0,0.0,0.0784313753247261,0.01568627543747425,0.03529411926865578,0.003921568859368563,0.07450980693101883,0.019607843831181526,0.019607843831181526,0.0,0.0235294122248888,0.0117647061124444,0.007843137718737125,0.0,0.027450980618596077,0.007843137718737125,0.007843137718737125,0.0,0.07058823853731155
jianjo,68.3_3_0,68.3,3,0,6,1564565842454.0,0.0,0.007843137718737125,0.12941177189350128,0.20000000298023224,0.0,0.0,0.08235294371843338,0.14509804546833038,0.0235294122248888,0.01568627543747425,0.10980392247438431,0.1882352977991104,0.019607843831181526,0.01568627543747425,0.12156862765550613,0.23529411852359772,0.007843137718737125,0.0235294122248888,0.019607843831181526,0.09019608050584793,0.007843137718737125,0.007843137718737125,0.0,0.03529411926865578,0.0,0.0,0.0,0.0313725508749485,0.0,0.0,0.0,0.0784313753247261,0.0117647061124444,0.027450980618596077,0.007843137718737125,0.0784313753247261,0.0117647061124444,0.0117647061124444,0.0,0.0235294122248888,0.01568627543747425,0.007843137718737125,0.0,0.03529411926865578,0.0117647061124444,0.007843137718737125,0.0,0.08235294371843338
jianjo,68.3_3_0,68.3,3,0,7,1564565842468.0,0.0,0.0,0.1411764770746231,0.20392157137393951,0.0,0.0,0.0941176488995552,0.1568627506494522,0.01568627543747425,0.01568627543747425,0.11372549086809158,0.19607843458652496,0.0235294122248888,0.019607843831181526,0.125490203499794,0.25882354378700256,0.007843137718737125,0.019607843831181526,0.0235294122248888,0.08627451211214066,0.0117647061124444,0.003921568859368563,0.0,0.03921568766236305,0.0,0.0,0.0,0.0313725508749485,0.0,0.0,0.0,0.0941176488995552,0.019607843831181526,0.0313725508749485,0.01568627543747425,0.0784313753247261,0.0235294122248888,0.01568627543747425,0.0,0.0313725508749485,0.007843137718737125,0.007843137718737125,0.0,0.03529411926865578,0.01568627543747425,0.0117647061124444,0.0,0.09803921729326248
jianjo,68.3_3_0,68.3,3,0,8,1564565842483.0,0.0,0.019607843831181526,0.13333334028720856,0.19607843458652496,0.0,0.003921568859368563,0.09803921729326248,0.16078431904315948,0.007843137718737125,0.003921568859368563,0.0941176488995552,0.16862745583057404,0.0117647061124444,0.007843137718737125,0.09803921729326248,0.20392157137393951,0.0,0.019607843831181526,0.0117647061124444,0.07450980693101883,0.0,0.003921568859368563,0.0,0.03921568766236305,0.0,0.0,0.0,0.03529411926865578,0.003921568859368563,0.0,0.0,0.07058823853731155,0.007843137718737125,0.027450980618596077,0.0,0.062745101749897,0.007843137718737125,0.0117647061124444,0.0,0.027450980618596077,0.0117647061124444,0.007843137718737125,0.0,0.027450980618596077,0.01568627543747425,0.0117647061124444,0.0,0.062745101749897
jianjo,68.3_3_0,68.3,3,0,9,1564565842498.0,0.0,0.007843137718737125,0.1411764770746231,0.21176470816135406,0.0,0.0,0.09803921729326248,0.16078431904315948,0.019607843831181526,0.01568627543747425,0.12156862765550613,0.20392157137393951,0.01568627543747425,0.01568627543747425,0.13333334028720856,0.250980406999588,0.003921568859368563,0.0235294122248888,0.019607843831181526,0.09019608050584793,0.0117647061124444,0.0117647061124444,0.0,0.03921568766236305,0.0,0.0,0.0,0.0313725508749485,0.0,0.0,0.0,0.0784313753247261,0.007843137718737125,0.027450980618596077,0.0117647061124444,0.08235294371843338,0.01568627543747425,0.01568627543747425,0.0,0.0313725508749485,0.003921568859368563,0.0,0.0,0.03529411926865578,0.0,0.0,0.0,0.08235294371843338
